case_id,best_energy,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,-4.491582277987343,2,0,0.0,True,0,0,15085
02,-5.092137181319931,2,0,0.0,True,2,0,16234
03,-3.9575399027997467,3,0,0.0,True,1,0,21125
04,-2.7356595709598572,5,0,0.0,True,4,0,31449
05,-3.344740482427804,4,0,0.0,True,2,0,27565
06,-2.1185585948791505,5,0,0.0,True,2,1,29460
07,-4.817952997953464,5,0,0.0,True,4,0,29717
08,-5.384929096429008,5,1,0.2,True,4,0,32568
09,-2.8672903735133177,3,0,0.0,True,1,0,19626
10,-3.688371406799111,3,0,0.0,True,2,0,20797
11,-3.20409689104891,2,0,0.0,True,1,0,15249
12,-2.184594228309833,2,0,0.0,True,2,0,15295
13,-3.2527761271939104,2,0,0.0,True,1,0,15626
14,-3.1173532195146167,4,0,0.0,True,3,0,27750
15,-3.677006265498335,4,0,0.0,True,2,0,27118
16,-5.733825593378285,5,0,0.0,True,4,1,31295
17,-3.3073297536314143,5,0,0.0,True,3,1,27730
18,-4.093853025862835,4,0,0.0,True,3,0,30092
19,-6.131307652833037,4,0,0.0,True,3,0,28896
20,-2.401681452881924,5,0,0.0,True,5,4,31949
