case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-1.798297882080078,1.558269500732422,5,0,0.0,True,3,4,37302
002,no_slip,-4.346961975097656,1.9073486328125e-06,5,0,0.0,True,5,4,46673
003,no_slip,-3.288806915283203,-0.0285282135009765,4,0,0.0,True,3,2,30507
004,no_slip,-7.392616271972656,-0.232666015625,5,0,0.0,True,4,0,34000
005,no_slip,-10.076349258422852,0.0,5,0,0.0,True,4,0,34836
006,no_slip,-3.421102523803711,0.294769287109375,5,0,0.0,True,3,0,32562
007,no_slip,-19.726364135742188,0.0022201538085937,5,0,0.0,True,2,1,32447
008,no_slip,-7.49000072479248,0.9764680862426758,5,0,0.0,True,4,0,34997
009,no_slip,-4.578418731689453,-0.287628173828125,5,0,0.0,True,4,1,36902
010,no_slip,-3.3845176696777344,0.0,5,0,0.0,True,5,1,37742
011,no_slip,-4.367143630981445,0.0514087677001953,5,0,0.0,True,2,0,32757
012,no_slip,-14.549540519714355,0.0,5,0,0.0,True,5,0,36063
013,no_slip,-2.700719833374023,0.0717620849609375,4,0,0.0,True,3,0,33644
014,no_slip,-10.13772201538086,0.0,5,0,0.0,True,5,2,37490
015,no_slip,-1.094757080078125,0.0,4,0,0.0,True,3,3,31165
016,no_slip,-9.663703918457031,0.6972808837890625,5,0,0.0,True,3,1,33605
017,no_slip,-2.437950134277344,0.2787017822265625,5,0,0.0,True,4,0,35682
018,no_slip,-8.053489685058594,-0.1987571716308593,5,0,0.0,True,5,1,37457
019,no_slip,-1.83050537109375,0.025482177734375,1,0,0.0,True,1,0,4780
020,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,33420
021,no_slip,-4.950687408447266,0.066619873046875,5,0,0.0,True,5,0,35177
022,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,34569
023,no_slip,-3.439472198486328,-0.0001220703125,5,0,0.0,True,3,2,35886
024,no_slip,-5.207889556884766,0.0150375366210937,5,0,0.0,True,5,0,36099
025,no_slip,-3.493206024169922,0.056161880493164,5,0,0.0,True,3,0,32628
026,no_slip,-7.450054168701172,-0.0155029296875,5,0,0.0,True,4,0,34623
027,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,32578
028,no_slip,-4.055267333984375,-0.1787109375,5,0,0.0,True,5,1,47848
029,no_slip,-8.870079040527344,0.0,5,0,0.0,True,5,1,35615
030,no_slip,-5.087898254394531,-0.002410888671875,5,0,0.0,True,3,0,48474
031,no_slip,-5.4508819580078125,0.02398681640625,5,0,0.0,True,3,0,35654
032,no_slip,-6.6301116943359375,0.483612060546875,5,0,0.0,True,5,2,34262
033,no_slip,-4.444742202758789,0.101388931274414,5,0,0.0,True,5,1,36863
034,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,1,34371
035,no_slip,-6.2311859130859375,0.01080322265625,5,0,0.0,True,5,0,36000
036,no_slip,-10.643351554870604,-0.434814453125,5,0,0.0,True,5,0,34435
037,no_slip,-5.747974395751953,0.0,2,0,0.0,True,2,0,10294
038,no_slip,-3.3967971801757812,-0.077606201171875,5,0,0.0,True,5,1,35350
039,no_slip,-5.362604141235352,0.0,5,0,0.0,True,4,1,33967
040,no_slip,-9.670894622802734,-0.314453125,5,0,0.0,True,5,1,37720
041,no_slip,-4.959049940109253,-0.215850830078125,5,0,0.0,True,3,0,31564
042,no_slip,-3.283937454223633,0.0,5,2,0.4,True,3,0,34249
043,no_slip,-7.790651321411133,0.02117919921875,5,0,0.0,True,5,1,36805
044,no_slip,-2.7364501953125,-0.000274658203125,5,1,0.2,True,4,2,36896
045,no_slip,-1.570451736450195,-0.2189807891845703,5,1,0.2,True,3,2,36576
046,no_slip,-4.248908996582031,0.0,5,0,0.0,True,2,0,34583
047,no_slip,-2.149190902709961,-0.023681640625,5,0,0.0,True,2,0,33610
048,no_slip,-11.658258438110352,-0.0006103515625,4,0,0.0,True,4,0,34227
049,no_slip,-8.249351501464844,0.378509521484375,5,0,0.0,True,5,0,52368
050,no_slip,-3.5041396617889404,0.0,5,0,0.0,True,4,0,33122
051,no_slip,-3.134526014328003,0.0,5,0,0.0,True,4,0,33199
052,no_slip,-0.1671791076660156,0.0,5,0,0.0,True,0,1,33187
053,no_slip,-3.145526885986328,,4,2,0.5,True,2,1,64065
054,no_slip,-11.695274353027344,0.0,5,0,0.0,True,3,0,45246
055,no_slip,-2.739093780517578,0.0,5,0,0.0,True,4,2,35177
056,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,33463
057,no_slip,-10.486995697021484,0.0,5,0,0.0,True,4,1,45152
058,no_slip,-2.9037342071533203,0.0,2,0,0.0,True,2,0,24166
059,no_slip,-2.848228454589844,0.001861572265625,1,0,0.0,True,0,0,9447
060,no_slip,-8.070688247680664,0.2513446807861328,3,0,0.0,True,1,0,19442
061,no_slip,-10.710853576660156,0.0,5,0,0.0,True,1,0,33858
062,no_slip,-7.339113235473633,0.0001220703125,5,0,0.0,True,5,3,37797
