case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35177
01,no_slip,-3.6317179203033447,0.0,5,0,0.0,True,4,0,33506
01,no_forbid,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35214
01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,36283
01,single_shot,-3.6311686038970947,0.00054931640625,1,0,0.0,True,0,0,6419
02,full,-4.765958786010742,0.0,5,0,0.0,True,4,0,38503
02,no_slip,-4.765958786010742,0.0,5,0,0.0,True,5,0,35712
02,no_forbid,-4.759977340698242,0.0059814453125,5,0,0.0,True,4,0,36406
02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,37383
02,single_shot,-4.150495529174805,0.6154632568359375,1,0,0.0,True,1,0,6507
03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,35502
03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,32570
03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,3,0,35005
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,33266
03,single_shot,-3.320255994796753,0.031707763671875,1,0,0.0,True,1,0,5852
04,full,-2.2549095153808594,0.0,5,0,0.0,True,3,2,39382
04,no_slip,-2.0389671325683594,0.2159423828125,5,0,0.0,True,4,3,35759
04,no_forbid,-1.8452110290527344,0.409698486328125,1,0,0.0,True,1,0,6256
04,no_termination,-2.2549095153808594,0.0,5,0,0.0,True,3,2,37742
04,single_shot,-1.6579418182373047,0.5969676971435547,1,0,0.0,True,1,0,3201
05,full,-2.9616286754608154,0.0,5,0,0.0,True,3,0,33755
05,no_slip,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33696
05,no_forbid,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33691
05,no_termination,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33163
05,single_shot,-2.9469187259674072,0.014709949493408203,1,0,0.0,True,0,0,6022
06,full,-1.8745841979980469,0.0,5,0,0.0,True,1,2,32893
06,no_slip,-1.7678642272949219,0.106719970703125,5,0,0.0,True,3,2,33768
06,no_forbid,-1.9020652770996094,-0.0274810791015625,5,0,0.0,True,2,1,37436
06,no_termination,-1.8745841979980469,0.0,5,0,0.0,True,1,2,33278
06,single_shot,,,1,0,0.0,False,0,1,6188
07,full,-7.051090955734253,0.0,5,0,0.0,True,5,0,37815
07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,32905
07,no_forbid,-7.030705213546753,0.0203857421875,5,0,0.0,True,4,0,36405
07,no_termination,-7.030705213546753,0.0203857421875,4,0,0.0,True,4,0,28145
07,single_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5640
08,full,-6.414363861083984,0.0,4,0,0.0,True,3,3,30243
08,no_slip,-6.616634368896484,-0.2022705078125,5,0,0.0,True,3,3,34198
08,no_forbid,-6.414363861083984,0.0,5,0,0.0,True,4,4,42458
08,no_termination,-7.190608978271484,-0.7762451171875,4,0,0.0,True,3,2,30842
08,single_shot,,,1,0,0.0,False,0,1,5945
09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,26737
09,no_slip,-1.9739322662353516,0.0,3,0,0.0,True,1,0,24763
09,no_forbid,-1.9739322662353516,0.0,3,0,0.0,True,1,0,27312
