backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,001,one_shot,,,1,0,0.0,False,0,1,4609
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,002,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,5215
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,003,one_shot,-3.114904403686523,0.173889160156,1,0,0.0,True,1,0,4812
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,004,one_shot,-6.123451232910156,1.05316162109,1,0,0.0,True,1,0,4544
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,005,one_shot,-9.262384414672852,0.812753677368,1,0,0.0,True,0,0,4661
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,006,one_shot,-3.376506805419922,0.339365005493,1,0,0.0,True,0,0,4480
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,007,one_shot,-19.717514038085938,-0.0006103515625,1,0,0.0,True,0,0,4646
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,008,one_shot,-8.466667175292969,-0.986218452454,1,0,0.0,True,1,0,4611
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,009,one_shot,-4.292024612426758,0.0,1,0,0.0,True,1,0,5106
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,010,one_shot,-3.345600128173828,0.0389251708984,1,0,0.0,True,1,0,5040
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,011,one_shot,-4.418554306030273,0.0,1,0,0.0,True,0,0,4704
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,012,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,5212
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,013,one_shot,-2.2730464935302734,0.495620727539,1,0,0.0,True,0,0,4612
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,014,one_shot,-8.813106536865234,2.57135009766,1,0,0.0,True,1,0,5317
